# x psi2_state_0 psi2_state_1 psi2_state_2 psi2_state_3 psi2_state_4 psi2_state_5 psi2_state_6 psi2_state_7
-5.603923119999999758e-02 3.040523491060754995e-29 2.307027374634286330e-28 7.117672341982242056e-29 7.869913152593028293e-29 1.806185057080164591e-28 6.137198690340887700e-28 2.187152149009470803e-28 7.671659147538358864e-32
-5.523867080000000040e-02 4.412833363094101457e-29 2.430318936246505538e-28 5.597435391826990726e-30 2.668705555884410176e-30 5.607466991783373835e-31 3.232626473701737847e-28 8.561063683380142331e-29 1.247963537855238521e-28
-5.443811030000000190e-02 5.205528913643014094e-31 1.718897278854042093e-30 4.818738504850447107e-31 9.015536543818599423e-31 6.460771682721013215e-30 1.229617733136169199e-29 2.219358797804508152e-29 2.199596355296598103e-29
-5.363754989999999778e-02 5.118023560747771520e-30 8.547706221194290313e-30 2.082504484557623220e-30 7.987351618441422010e-30 7.961839817792421994e-34 2.122779139798260757e-28 3.415384587769362953e-29 5.807143365620352154e-30
-5.283698939999999927e-02 1.336477884667446519e-31 3.984850892930931702e-31 2.038205772075808686e-30 1.928872384836760288e-31 1.584584396593148064e-31 2.689457533140182951e-31 7.480230682659918114e-33 9.966417437149147011e-30
-5.203642900000000210e-02 1.169835324127155735e-34 1.312478322378459062e-31 4.035271083438513742e-32 4.206190114732482518e-32 9.032708562665981042e-33 1.037199875720163380e-32 1.333986466420425628e-32 1.119714038505319756e-34
-5.123586849999999665e-02 8.709934555422276792e-31 7.429556376900259520e-31 1.355125724783817853e-31 1.177143232828299780e-32 5.202725934096263873e-31 1.049266629823308320e-31 6.004133400743234622e-30 2.779303407284128085e-30
-5.043530809999999948e-02 1.868342598711715779e-31 1.678023327786136543e-31 9.666656283703713447e-32 4.300440402007897313e-30 1.866883336060156159e-33 2.992437504311427944e-32 5.947495737988546957e-31 2.088737423708819076e-33
-4.963474760000000097e-02 1.268436420948086231e-30 3.885076213770754557e-30 2.187106901322640059e-30 3.395938947336938727e-30 1.172480366185934573e-31 1.570701585477079025e-31 1.165451872925607425e-30 1.736381612276080138e-30
-4.883418719999999685e-02 1.595280260853507663e-31 8.381520147673220433e-31 6.207301348356059535e-32 8.681597919904948498e-32 7.597381300535165693e-31 5.776983433073851784e-33 9.125694664161457251e-33 7.430092944749172499e-31
-4.803362669999999834e-02 3.247396407417551905e-32 6.478001356590327820e-32 6.337106305492852698e-31 3.621762402617038363e-32 1.931874853136672999e-32 3.985087760164726487e-31 1.004769388151055859e-30 2.389607564756071035e-31
-4.723306630000000117e-02 1.425655235752367816e-30 1.401160724447867940e-30 3.074691036668111569e-31 1.106339604285860092e-30 9.115490545429115943e-31 4.503010412030438741e-34 2.426402796145492538e-31 2.329576393794992577e-31
-4.643250589999999706e-02 1.123476363489711913e-32 5.259781869759902205e-31 1.794066430857619589e-31 3.140897447254980303e-33 1.333881972807900127e-31 4.029411210854496054e-31 2.108782160772628015e-31 3.663139212846839627e-33
-4.563194539999999855e-02 5.669065496035880310e-32 1.285116777652784461e-31 1.797030812939850180e-31 3.987363849462238862e-33 4.494488947982883232e-32 1.081055052323182398e-32 8.270729253366755931e-34 1.498256966250171362e-32
-4.483138500000000137e-02 4.147220476802984684e-33 2.010877494739334848e-32 7.746160352848329608e-32 7.488486527945593882e-34 2.778631336187988124e-32 1.550405500050062753e-32 1.080892040540785292e-32 7.025034374557668474e-33
